Name,Genre,Platform,Publisher,Year,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Colin McRae Rally 04,Racing,PS2,Codemasters,2003.0,0.01,0.71,0.01,0.21,0.94
Star Fox 64 3D,Shooter,3DS,Nintendo,2011.0,0.48,0.27,0.13,0.07,0.94
Mario Tennis Open,Sports,3DS,Nintendo,2012.0,0.26,0.29,0.33,0.05,0.94
The Witcher 2: Assassins of Kings,Action,X360,Namco Bandai Games,2012.0,0.48,0.36,0.02,0.08,0.94
Bayonetta,Action,X360,Sega,2009.0,0.51,0.26,0.09,0.08,0.94
SaGa Frontier 2,Role-Playing,PS,SquareSoft,1999.0,0.1,0.07,0.71,0.06,0.94
The Legend of Zelda: Twilight Princess HD,Action,WiiU,Nintendo,2016.0,0.48,0.3,0.08,0.08,0.94
Bully,Action,PS2,Take-Two Interactive,2006.0,0.75,0.03,0.04,0.12,0.94
Phantasy Star Portable,Role-Playing,PSP,Sega,2008.0,0.19,0.06,0.63,0.05,0.94
Operation Flashpoint: Dragon Rising,Shooter,X360,Codemasters,2009.0,0.36,0.45,0.02,0.1,0.93
EA Sports Grand Slam Tennis,Sports,Wii,Electronic Arts,2009.0,0.29,0.52,0.02,0.11,0.93
White Knight Chronicles: International Edition,Role-Playing,PS3,Sony Computer Entertainment,2008.0,0.33,0.16,0.36,0.08,0.93
SSX,Sports,PS3,Electronic Arts,2012.0,0.35,0.42,0.02,0.14,0.93
Sonic Riders: Zero Gravity,Racing,Wii,Sega,2008.0,0.5,0.32,0.02,0.1,0.93
Mega Man 4,Platform,NES,Capcom,1991.0,0.51,0.09,0.32,0.01,0.93
Pokken Tournament,Fighting,WiiU,Namco Bandai Games,2016.0,0.47,0.22,0.16,0.07,0.93
Blue Dragon,Role-Playing,X360,Microsoft Game Studios,2006.0,0.3,0.33,0.21,0.08,0.92
Dante's Inferno,Action,X360,Electronic Arts,2010.0,0.63,0.2,0.02,0.07,0.92
Balloon Fight,Platform,NES,Nintendo,1985.0,0.39,0.09,0.43,0.01,0.92
Disney Magical World,Adventure,3DS,Nintendo,2013.0,0.16,0.2,0.53,0.03,0.92
Crysis 3,Shooter,X360,Electronic Arts,2013.0,0.51,0.33,0.01,0.08,0.92
Dynasty Warriors 7,Action,PS3,Tecmo Koei,2011.0,0.25,0.14,0.46,0.06,0.92
The Evil Within,Action,PS3,Bethesda Softworks,2014.0,0.26,0.39,0.12,0.14,0.92
Tobal No.1,Fighting,PS,Sony Computer Entertainment,1996.0,0.12,0.08,0.66,0.06,0.92
Lost Odyssey,Role-Playing,X360,Microsoft Game Studios,2007.0,0.45,0.27,0.11,0.09,0.92
Operation Flashpoint: Dragon Rising,Shooter,PS3,Codemasters,2009.0,0.23,0.46,0.05,0.17,0.92
Homefront,Shooter,PS3,THQ,2011.0,0.32,0.4,0.04,0.15,0.91
Harvest Moon 3D: A New Beginning,Action,3DS,Marvelous Entertainment,2012.0,0.41,0.17,0.29,0.05,0.91
Tom Clancy's EndWar,Strategy,X360,Ubisoft,2008.0,0.58,0.24,0.01,0.09,0.91
Tokyo Xtreme Racer 3,Racing,PS2,Genki,2003.0,0.35,0.27,0.21,0.09,0.91
Colin McRae Rally 2.0,Racing,PS,Codemasters,2000.0,0.02,0.8,0.02,0.07,0.91
SOCOM 4: U.S. Navy SEALs,Shooter,PS3,Sony Computer Entertainment,2011.0,0.66,0.12,0.04,0.08,0.9
We Ski & Snowboard,Sports,Wii,Atari,2008.0,0.38,0.29,0.15,0.08,0.9
Crysis 3,Shooter,PS3,Electronic Arts,2013.0,0.26,0.43,0.03,0.18,0.9
Hot Shots Tennis,Sports,PS2,Sony Computer Entertainment,2006.0,0.17,0.13,0.55,0.05,0.9
Sonic Heroes,Platform,XB,Sega,2003.0,0.41,0.43,0.01,0.05,0.9
Resistance: Retribution,Shooter,PSP,Sony Computer Entertainment,2009.0,0.27,0.36,0.05,0.22,0.9
Spider-Man 3,Platform,PS2,Activision,2007.0,0.74,0.03,0.01,0.12,0.9
Samba De Amigo,Misc,Wii,Sega,2008.0,0.42,0.37,0.01,0.1,0.9
LittleBigPlanet Karting,Action,PS3,Sony Computer Entertainment,2012.0,0.42,0.32,0.01,0.15,0.9
Call of Juarez: Bound in Blood,Shooter,PS3,Ubisoft,2009.0,0.35,0.38,0.01,0.16,0.89
LEGO Jurassic World,Action,PS4,Warner Bros. Interactive Entertainment,2015.0,0.32,0.42,0.01,0.14,0.89
Castlevania: Circle of the Moon,Platform,GBA,Konami Digital Entertainment,2001.0,0.6,0.22,0.05,0.02,0.89
Sonic Chronicles: The Dark Brotherhood,Role-Playing,DS,Sega,2008.0,0.51,0.29,0.01,0.09,0.89
Classic NES Series: The Legend of Zelda,Adventure,GBA,Nintendo,2004.0,0.46,0.17,0.24,0.02,0.89
Fire Emblem: The Sacred Stones,Strategy,GBA,Nintendo,2004.0,0.42,0.16,0.3,0.02,0.89
Ace Combat 2,Simulation,PS,Sony Computer Entertainment,1997.0,0.16,0.11,0.56,0.06,0.89
Dissidia 012: Duodecim Final Fantasy,Fighting,PSP,Square Enix,2011.0,0.21,0.13,0.46,0.08,0.89
LEGO Marvel Super Heroes,Action,3DS,Warner Bros. Interactive Entertainment,2013.0,0.42,0.36,0.04,0.07,0.89
F1 2010,Racing,X360,Codemasters,2010.0,0.18,0.59,0.01,0.1,0.89
Wii Fit U,Sports,WiiU,Nintendo,2013.0,0.39,0.24,0.21,0.06,0.89
Kingdoms of Amalur: Reckoning,Role-Playing,X360,Electronic Arts,2012.0,0.55,0.25,0.01,0.07,0.89
Mega Man 8 Anniversary Collector's Edition,Platform,PS,Capcom,1996.0,0.44,0.3,0.09,0.06,0.88
Sleeping Dogs,Action,X360,Square Enix,2012.0,0.38,0.41,0.01,0.08,0.88
Resident Evil: Revelations,Action,3DS,Capcom,2012.0,0.3,0.22,0.3,0.05,0.88
Endless Ocean: Blue World,Simulation,Wii,Nintendo,2009.0,0.47,0.22,0.12,0.07,0.88
Metal Gear Ac!d,Strategy,PSP,Konami Digital Entertainment,2004.0,0.32,0.26,0.12,0.17,0.88
Cooking Mama: World Kitchen,Simulation,Wii,505 Games,2008.0,0.51,0.28,0.01,0.08,0.88
Tekken Tag Tournament 2,Fighting,PS3,Namco Bandai Games,2012.0,0.28,0.33,0.13,0.14,0.88
GRID,Racing,X360,Codemasters,2008.0,0.33,0.44,0.01,0.09,0.88
Phantasy Star Portable 2,Role-Playing,PSP,Sega,2009.0,0.08,0.11,0.62,0.06,0.88
Red Faction: Guerrilla,Shooter,X360,THQ,2009.0,0.48,0.29,0.01,0.09,0.87
Mercenaries 2: World in Flames,Shooter,PS3,Electronic Arts,2008.0,0.29,0.4,0.02,0.16,0.87
Need for Speed: V-Rally,Racing,PS,Infogrames,1997.0,0.43,0.29,0.09,0.06,0.87
Kingdoms of Amalur: Reckoning,Role-Playing,PS3,Electronic Arts,2012.0,0.37,0.3,0.09,0.11,0.87
Beijing 2008,Sports,PS3,Sega,2008.0,0.14,0.54,0.01,0.18,0.87
The House of the Dead: Overkill,Shooter,Wii,Sega,2009.0,0.46,0.31,0.02,0.09,0.87
Vagrant Story,Role-Playing,PS,Crave Entertainment,2000.0,0.3,0.2,0.3,0.06,0.87
Warriors Orochi,Action,PS2,Tecmo Koei,2007.0,0.11,0.09,0.64,0.03,0.87
Tales of Xillia 2,Role-Playing,PS3,Namco Bandai Games,2012.0,0.2,0.15,0.45,0.07,0.87
Winning Eleven: Pro Evolution Soccer 2007,Sports,PSP,Konami Digital Entertainment,2006.0,0.01,0.72,0.12,0.01,0.86
Darksiders II,Action,PS3,THQ,2012.0,0.35,0.37,0.01,0.14,0.86
The World Ends With You,Role-Playing,DS,Square Enix,2007.0,0.54,0.06,0.21,0.05,0.86
Dragon Ball Z: Burst Limit,Fighting,PS3,Atari,2008.0,0.22,0.34,0.18,0.12,0.86
2010 FIFA World Cup South Africa,Sports,X360,Electronic Arts,2010.0,0.32,0.43,0.02,0.09,0.86
Dynasty Warriors 4: Xtreme Legends,Action,PS2,Tecmo Koei,2003.0,0.17,0.13,0.51,0.04,0.86
Ninja Gaiden Sigma 2,Action,PS3,Ubisoft Annecy,2009.0,0.52,0.16,0.08,0.1,0.86
Skate 2,Sports,PS3,Electronic Arts,2009.0,0.46,0.26,0.01,0.12,0.85
Street Fighter Alpha 2,Fighting,PS,Virgin Interactive,1996.0,0.14,0.09,0.57,0.06,0.85
Army of Two: The 40th Day,Shooter,PS3,Electronic Arts,2010.0,0.44,0.27,0.01,0.12,0.85
Castlevania III: Dracula's Curse,Platform,NES,Konami Digital Entertainment,1989.0,0.4,0.07,0.37,0.01,0.85
Kirby: Planet Robobot,Action,3DS,Nintendo,2016.0,0.26,0.1,0.44,0.04,0.85
Street Fighter EX3,Fighting,PS2,Virgin Interactive,2000.0,0.32,0.25,0.2,0.08,0.85
Sniper Elite V2,Shooter,X360,505 Games,2012.0,0.46,0.29,0.02,0.07,0.85
Thief (2014),Action,PS4,Square Enix,2014.0,0.28,0.37,0.03,0.16,0.84
Golden Sun: Dark Dawn,Role-Playing,DS,Nintendo,2010.0,0.56,0.11,0.13,0.05,0.84
Devil May Cry HD Collection,Action,PS3,Capcom,2012.0,0.42,0.21,0.11,0.1,0.84
NBA 2K10,Sports,PS3,Take-Two Interactive,2009.0,0.75,0.01,0.01,0.07,0.84
Xenoblade Chronicles X,Role-Playing,WiiU,Nintendo,2015.0,0.36,0.28,0.14,0.06,0.84
Dragon Age II,Action,PS3,Electronic Arts,2011.0,0.4,0.27,0.05,0.12,0.84
Harvest Moon: Tree of Tranquility,Simulation,Wii,Rising Star Games,2007.0,0.69,0.03,0.06,0.06,0.84
Street Fighter X Tekken,Fighting,PS3,Capcom,2012.0,0.42,0.22,0.1,0.1,0.84
Borderlands: The Handsome Collection,Shooter,PS4,Take-Two Interactive,2015.0,0.36,0.32,0.03,0.14,0.84
Rogue Galaxy,Role-Playing,PS2,Sony Computer Entertainment,2005.0,0.24,0.16,0.39,0.05,0.84
FIFA 15,Sports,PSV,Electronic Arts,2014.0,0.13,0.48,0.04,0.19,0.84
Time Crisis 4,Shooter,PS3,Namco Bandai Games,2007.0,0.32,0.33,0.05,0.14,0.84
Need for Speed Rivals,Racing,X360,Electronic Arts,2013.0,0.37,0.38,0.01,0.08,0.84
Ace Combat 3: Electrosphere,Simulation,PS,Sony Computer Entertainment,1999.0,0.22,0.15,0.4,0.05,0.83
Dynasty Warriors 2,Action,PS2,THQ,2000.0,0.24,0.19,0.34,0.06,0.83
Borderlands 2,Shooter,PSV,Take-Two Interactive,2014.0,0.43,0.21,0.01,0.19,0.83
FIFA Soccer World Championship,Sports,PS2,Electronic Arts,2000.0,0.27,0.21,0.28,0.07,0.83
Brute Force,Shooter,XB,Microsoft Game Studios,2003.0,0.62,0.18,0.01,0.03,0.83
Mega Man Legends,Adventure,PS,Capcom,1997.0,0.39,0.26,0.12,0.05,0.83
Dragon Ball: Raging Blast 2,Fighting,PS3,Namco Bandai Games,2010.0,0.42,0.2,0.11,0.09,0.83
Deca Sports 2,Sports,Wii,Hudson Soft,2009.0,0.33,0.34,0.09,0.07,0.82
Street Fighter V,Fighting,PS4,Capcom,2016.0,0.35,0.26,0.08,0.13,0.82
Clu Clu Land,Puzzle,NES,Nintendo,1984.0,0.42,0.1,0.28,0.02,0.82
DmC: Devil May Cry,Action,PS3,Capcom,2013.0,0.24,0.28,0.19,0.12,0.82
Tales of the Abyss,Role-Playing,3DS,Namco Bandai Games,2011.0,0.42,0.19,0.14,0.06,0.82
Stranglehold,Shooter,X360,Midway Games,2007.0,0.4,0.33,0.01,0.09,0.82
Shin Megami Tensei: Persona 4,Role-Playing,PS2,Atlus,2008.0,0.34,0.04,0.36,0.08,0.82
Patapon,Misc,PSP,Sony Computer Entertainment,2007.0,0.33,0.25,0.07,0.17,0.81
Tales of Destiny II,Role-Playing,PS,Namco Bandai Games,2000.0,0.06,0.04,0.66,0.05,0.81
Valkyrie Profile,Role-Playing,PS,Enix Corporation,1999.0,0.07,0.05,0.63,0.05,0.81
Pro Evolution Soccer 2010,Sports,X360,Konami Digital Entertainment,2009.0,0.12,0.58,0.03,0.08,0.81
Mega Man,Platform,NES,Capcom,1987.0,0.45,0.08,0.27,0.01,0.81
Professor Layton vs Phoenix Wright: Ace Attorney,Puzzle,3DS,Level 5,2012.0,0.2,0.26,0.3,0.04,0.81
Dying Light,Action,XOne,Warner Bros. Interactive Entertainment,2015.0,0.43,0.3,0.01,0.07,0.81
Final Fantasy XI: Wings of the Goddess,Role-Playing,PS2,Square Enix,2007.0,0.35,0.27,0.09,0.09,0.81
MadWorld,Action,Wii,Sega,2009.0,0.46,0.25,0.02,0.07,0.8
Yakuza,Action,PS2,Sega,2005.0,0.03,0.02,0.74,0.01,0.8
Pro Evolution Soccer 2010,Sports,PSP,Konami Digital Entertainment,2009.0,0.09,0.33,0.2,0.18,0.8
NBA 2K16,Sports,PS3,Take-Two Interactive,2015.0,0.44,0.19,0.03,0.13,0.8
Dragon's Dogma,Role-Playing,X360,Capcom,2012.0,0.42,0.24,0.07,0.06,0.8
Resident Evil: Revelations,Action,PS3,Capcom,2013.0,0.14,0.32,0.22,0.12,0.8
Mario & Sonic at the Sochi 2014 Olympic Winter Games,Sports,WiiU,Nintendo,2013.0,0.39,0.22,0.13,0.06,0.8
Sniper: Ghost Warrior,Shooter,PS3,City Interactive,2011.0,0.26,0.36,0.04,0.14,0.8
The Godfather II,Action,X360,Electronic Arts,2009.0,0.47,0.24,0.01,0.08,0.79
pro evolution soccer 2011,Sports,PSP,Konami Digital Entertainment,2010.0,0.05,0.3,0.29,0.16,0.79
The Walking Dead: Season One,Adventure,PS3,Avanquest Software,2012.0,0.4,0.25,0.03,0.11,0.79
Final Fantasy Tactics A2: Grimoire of the Rift,Role-Playing,DS,Square Enix,2007.0,0.42,0.03,0.3,0.04,0.79
Mega Man 5,Platform,NES,Capcom,1992.0,0.39,0.07,0.32,0.01,0.79
Star Ocean: The Last Hope,Role-Playing,X360,Square Enix,2009.0,0.32,0.2,0.21,0.06,0.79
Dance Dance Revolution SuperNOVA 2,Simulation,PS2,Konami Digital Entertainment,2007.0,0.64,0.03,0.02,0.1,0.79
Armored Core 2,Simulation,PS2,Ubisoft,2000.0,0.28,0.22,0.23,0.07,0.79
Ghost Squad,Shooter,Wii,Sega,2007.0,0.42,0.21,0.08,0.07,0.79
Dead Island: Riptide,Action,X360,Deep Silver,2013.0,0.44,0.27,0.01,0.07,0.79
Too Human,Role-Playing,X360,Microsoft Game Studios,2008.0,0.38,0.3,0.03,0.08,0.79
Sid Meier's Civilization Revolution,Strategy,PS3,Take-Two Interactive,2008.0,0.49,0.19,0.01,0.1,0.79
Personal Trainer: Walking,Sports,DS,Nintendo,2008.0,0.22,0.32,0.17,0.07,0.79
Naruto Shippuden: Ultimate Ninja Storm 2,Fighting,X360,Namco Bandai Games,2010.0,0.43,0.27,0.01,0.07,0.79
PokePark 2: Wonders Beyond,Action,Wii,Nintendo,2011.0,0.27,0.2,0.27,0.05,0.79
Tom Clancy's Splinter Cell: Double Agent,Action,X360,Ubisoft,2006.0,0.67,0.05,0.01,0.06,0.78
Metroid Prime Hunters,Shooter,DS,Nintendo,2006.0,0.58,0.04,0.11,0.06,0.78
Tetris Party Deluxe,Puzzle,DS,Nintendo,2010.0,0.29,0.3,0.12,0.07,0.78
Pro Evolution Soccer 2016,Sports,PS4,Konami Digital Entertainment,2015.0,0.13,0.42,0.13,0.1,0.78
Resident Evil: Operation Raccoon City,Action,X360,Capcom,2012.0,0.55,0.15,0.03,0.06,0.78
Need for Speed: ProStreet,Racing,PSP,Electronic Arts,2008.0,0.24,0.33,0.01,0.2,0.78
Perfect Dark Zero,Shooter,X360,Microsoft Game Studios,2005.0,0.66,0.02,0.03,0.06,0.77
Need For Speed: Undercover,Racing,PSP,Electronic Arts,2008.0,0.23,0.32,0.03,0.19,0.77
Freedom Wars,Role-Playing,PSV,Sony Computer Entertainment,2014.0,0.22,0.14,0.32,0.1,0.77
Dragon Ball: Raging Blast,Fighting,PS3,Namco Bandai Games,2009.0,0.37,0.19,0.11,0.1,0.77
Pokemon Dash,Racing,DS,Nintendo,2004.0,0.21,0.14,0.38,0.04,0.77
Donkey Kong Country 3,Platform,GBA,Nintendo,2005.0,0.45,0.17,0.14,0.01,0.77
Unlimited Saga,Role-Playing,PS2,Atari,2002.0,0.1,0.08,0.56,0.03,0.77
Formula 1,Racing,PS,Psygnosis,1996.0,0.18,0.12,0.42,0.05,0.76
Plants vs. Zombies: Garden Warfare,Shooter,PS3,Electronic Arts,2014.0,0.22,0.4,0.01,0.14,0.76
The Sims 3,Simulation,3DS,Electronic Arts,2011.0,0.3,0.37,0.03,0.07,0.76
Street Fighter Alpha: Warriors' Dreams,Fighting,PS,Virgin Interactive,1995.0,0.17,0.11,0.43,0.05,0.76
Lost Planet 2,Shooter,X360,Capcom,2010.0,0.38,0.24,0.08,0.06,0.76
SoulCalibur V,Fighting,PS3,Namco Bandai Games,2012.0,0.35,0.24,0.07,0.1,0.76
Pro Evolution Soccer 2015,Sports,PS4,Konami Digital Entertainment,2014.0,0.09,0.43,0.11,0.13,0.76
Mega Man Battle Network 6: Cybeast Falzar / Gregar,Role-Playing,GBA,Capcom,2005.0,0.09,0.03,0.62,0.02,0.76
Kane & Lynch: Dead Men,Shooter,X360,Eidos Interactive,2007.0,0.36,0.31,0.01,0.08,0.76
Ace Attorney Investigations: Miles Edgeworth,Adventure,DS,Capcom,2009.0,0.27,0.15,0.3,0.04,0.76
Marvel vs. Capcom 2: New Age of Heroes,Fighting,PS2,Capcom,2002.0,0.31,0.24,0.13,0.08,0.76
Need for Speed: Shift,Racing,PSP,Electronic Arts,2009.0,0.16,0.38,0.01,0.21,0.76
Kane & Lynch: Dead Men,Shooter,PS3,Eidos Interactive,2007.0,0.29,0.32,0.01,0.13,0.76
Dark Souls II,Role-Playing,X360,Namco Bandai Games,2014.0,0.48,0.2,0.01,0.06,0.76
True Crime: New York City,Action,PS2,Activision,2005.0,0.57,0.02,0.07,0.09,0.76
Genji: Days of the Blade,Action,PS3,Sony Computer Entertainment,2006.0,0.18,0.38,0.06,0.14,0.76
Harvest Moon: Animal Parade,Simulation,Wii,Rising Star Games,2008.0,0.6,0.09,0.02,0.05,0.76
Rare Replay,Misc,XOne,Microsoft Game Studios,2015.0,0.47,0.21,0.01,0.07,0.75
Mega Man X5,Platform,PS,Capcom,2000.0,0.3,0.21,0.2,0.05,0.75
The Godfather II,Action,PS3,Electronic Arts,2009.0,0.41,0.22,0.01,0.11,0.75
Turok,Action,X360,Touchstone,2008.0,0.46,0.21,0.01,0.07,0.75
Zone of the Enders,Shooter,PS2,Konami Digital Entertainment,2001.0,0.3,0.24,0.13,0.08,0.75
Red Faction: Guerrilla,Shooter,PS3,THQ,2009.0,0.33,0.28,0.02,0.12,0.75
Street Fighter EX Plus Alpha,Fighting,PS,Virgin Interactive,1997.0,0.28,0.19,0.23,0.05,0.75
Tales of Vesperia,Role-Playing,X360,Atari,2008.0,0.32,0.18,0.19,0.05,0.75
Split/Second,Racing,PS3,Disney Interactive Studios,2010.0,0.31,0.31,0.01,0.12,0.75
Capcom vs. SNK 2: Mark of the Millennium 2001,Fighting,PS2,Capcom,2001.0,0.22,0.17,0.3,0.06,0.75
Borderlands: The Pre-Sequel,Shooter,X360,Take-Two Interactive,2014.0,0.46,0.22,0.01,0.06,0.75
LittleBigPlanet 3,Platform,PS3,Sony Computer Entertainment,2014.0,0.2,0.43,0.01,0.11,0.75
Ace Combat: Assault Horizon,Action,PS3,Namco Bandai Games,2011.0,0.3,0.16,0.22,0.07,0.74
Resonance of Fate,Role-Playing,PS3,Sega,2010.0,0.2,0.22,0.24,0.09,0.74
Final Fantasy XIII-2,Role-Playing,X360,Square Enix,2011.0,0.36,0.3,0.02,0.06,0.74
Mario & Luigi: Paper Jam,Role-Playing,3DS,Nintendo,2015.0,0.16,0.3,0.25,0.04,0.74
Yu-Gi-Oh! Dungeon Dice Monsters,Misc,GBA,Konami Digital Entertainment,2001.0,0.42,0.16,0.15,0.01,0.74
Brink,Shooter,PS3,Bethesda Softworks,2011.0,0.29,0.32,0.01,0.12,0.74
LEGO Marvel Super Heroes,Action,WiiU,Warner Bros. Interactive Entertainment,2013.0,0.31,0.35,0.02,0.06,0.74
Blur,Racing,PS3,Activision,2010.0,0.22,0.37,0.02,0.13,0.74
Naruto Shippuden: Ultimate Ninja Storm Generations,Fighting,PS3,Namco Bandai Games,2012.0,0.27,0.25,0.14,0.08,0.74
Persona 4: Arena,Fighting,PS3,Atlus,2012.0,0.3,0.12,0.24,0.07,0.74
Sword of Mana,Role-Playing,GBA,Nintendo,2003.0,0.31,0.11,0.3,0.02,0.74
Harvest Moon DS: Island of Happiness,Simulation,DS,Rising Star Games,2007.0,0.44,0.01,0.25,0.04,0.74
Star Ocean: The Last Hope International,Role-Playing,PS3,Square Enix,2010.0,0.28,0.16,0.22,0.08,0.73
FIFA: Road to World Cup 98,Sports,PS,Electronic Arts,1997.0,0.14,0.09,0.46,0.05,0.73
Classic NES Series: Donkey Kong,Platform,GBA,Nintendo,2004.0,0.4,0.15,0.17,0.01,0.73
F1 2011,Racing,X360,Codemasters,2011.0,0.11,0.51,0.01,0.09,0.73
DiRT 3,Racing,X360,Codemasters,2011.0,0.23,0.41,0.01,0.08,0.73
Katamari Damacy,Puzzle,PS2,Namco Bandai Games,2004.0,0.47,0.02,0.17,0.08,0.73
Ratchet & Clank Collection,Action,PS3,Sony Computer Entertainment,2012.0,0.47,0.14,0.02,0.09,0.73
Style Savvy: Trendsetters,Simulation,3DS,Nintendo,2012.0,0.16,0.02,0.53,0.01,0.72
Final Fantasy XIV: A Realm Reborn,Role-Playing,PS4,Square Enix,2014.0,0.32,0.22,0.08,0.1,0.72
NBA Live 08,Sports,PS2,Electronic Arts,2007.0,0.59,0.02,0.01,0.1,0.72
James Bond 007: Blood Stone,Shooter,PS3,Activision,2010.0,0.18,0.38,0.02,0.13,0.72
Monster Hunter Tri,Role-Playing,WiiU,Nintendo,2012.0,0.26,0.19,0.22,0.04,0.72
Mobile Suit Gundam: Encounters in Space,Simulation,PS2,Namco Bandai Games,2003.0,0.05,0.04,0.61,0.01,0.72
Catherine,Adventure,PS3,Deep Silver,2011.0,0.3,0.15,0.2,0.07,0.72
Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,Role-Playing,Wii,Square Enix,2007.0,0.18,0.01,0.5,0.02,0.71
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,Action,PS4,Square Enix,2015.0,0.16,0.13,0.37,0.06,0.71
Resident Evil: Survivor,Action,PS,Eidos Interactive,2000.0,0.23,0.15,0.29,0.05,0.71
Dynasty Warriors 6,Action,PS3,Tecmo Koei,2007.0,0.18,0.08,0.41,0.04,0.71
Persona Q: Shadow of the Labyrinth,Role-Playing,3DS,Nippon Ichi Software,2014.0,0.33,0.07,0.27,0.04,0.71
Final Fantasy X/X-2 HD Remaster,Role-Playing,PS4,Square Enix,2015.0,0.29,0.25,0.06,0.11,0.71
Yu-Gi-Oh! The Falsebound Kingdom,Strategy,GC,Konami Digital Entertainment,2002.0,0.49,0.13,0.07,0.02,0.71
Blast Corps,Action,N64,Nintendo,1997.0,0.39,0.09,0.17,0.06,0.71
"WarioWare, Inc.: Mega Party Game$",Puzzle,GC,Nintendo,2003.0,0.2,0.05,0.44,0.02,0.71
Battle Arena Toshinden 2,Fighting,PS,Sony Computer Entertainment,1995.0,0.15,0.1,0.41,0.05,0.71
Metal Gear Solid V: The Phantom Pain,Action,XOne,Konami Digital Entertainment,2015.0,0.37,0.26,0.01,0.06,0.71
2014 FIFA World Cup Brazil,Sports,PS3,Electronic Arts,2014.0,0.15,0.39,0.01,0.16,0.71
Infinite Undiscovery,Role-Playing,X360,Square Enix,2008.0,0.34,0.18,0.12,0.06,0.7
Prince of Persia: The Forgotten Sands,Action,PS3,Ubisoft,2010.0,0.19,0.36,0.01,0.13,0.7
Chocobo's Dungeon 2,Role-Playing,PS,SquareSoft,1998.0,0.04,0.03,0.58,0.05,0.7
Ape Escape: On the Loose,Platform,PSP,Sony Computer Entertainment,2005.0,0.52,0.01,0.12,0.05,0.7
Mobile Suit Gundam: Journey to Jaburo,Simulation,PS2,Namco Bandai Games,2000.0,0.16,0.13,0.36,0.04,0.7
Metal Gear Solid V: The Phantom Pain,Action,PS3,Konami Digital Entertainment,2015.0,0.21,0.18,0.22,0.08,0.7
Classic NES Series: Zelda II: The Adventure of Link,Adventure,GBA,Nintendo,2004.0,0.37,0.14,0.17,0.01,0.7
The LEGO Movie Videogame,Action,3DS,Warner Bros. Interactive Entertainment,2014.0,0.28,0.31,0.05,0.05,0.69
Metal Gear Solid: Portable Ops Plus,Action,PSP,Konami Digital Entertainment,2007.0,0.26,0.01,0.26,0.17,0.69
The Sly Collection,Platform,PS3,Sony Computer Entertainment,2010.0,0.52,0.09,0.01,0.07,0.69
Nintendo Presents: New Style Boutique 2 - Fashion Forward,Misc,3DS,Nintendo,2015.0,0.01,0.61,0.02,0.04,0.69
The Last Remnant,Role-Playing,X360,Square Enix,2008.0,0.25,0.2,0.18,0.06,0.69
The Last Story,Role-Playing,Wii,Nintendo,2011.0,0.32,0.13,0.18,0.04,0.68
Spider-Man 3,Platform,PS3,Activision,2007.0,0.26,0.29,0.02,0.12,0.68
Rayman Legends,Platform,WiiU,Ubisoft,2013.0,0.26,0.33,0.03,0.06,0.68
Hot Shots Golf: Open Tee 2,Sports,PSP,Sony Computer Entertainment,2007.0,0.21,0.11,0.28,0.08,0.68
Metro: Last Light,Action,PS4,Deep Silver,2014.0,0.22,0.3,0.04,0.12,0.68
Bushido Blade 2,Fighting,PS,SquareSoft,1998.0,0.25,0.17,0.22,0.04,0.68
Suikoden II,Role-Playing,PS,Konami Digital Entertainment,1998.0,0.15,0.1,0.38,0.04,0.68
Red Steel,Shooter,Wii,Ubisoft,2006.0,0.55,0.04,0.04,0.05,0.68
Tourist Trophy: The Real Riding Simulator,Racing,PS2,Sony Computer Entertainment,2006.0,0.28,0.22,0.11,0.07,0.68
.hack//Mutation Part 2,Role-Playing,PS2,Atari,2002.0,0.23,0.18,0.2,0.06,0.68
Turok,Action,PS3,Touchstone,2008.0,0.35,0.22,0.01,0.1,0.68
Final Fantasy Crystal Chronicles: Ring of Fates,Role-Playing,DS,Square Enix,2007.0,0.22,0.01,0.42,0.02,0.67
Lollipop Chainsaw,Action,PS3,Warner Bros. Interactive Entertainment,2012.0,0.26,0.21,0.11,0.09,0.67
Armored Core 3,Simulation,PS2,Metro 3D,2002.0,0.22,0.17,0.23,0.06,0.67
The LEGO Movie Videogame,Action,PS4,Warner Bros. Interactive Entertainment,2014.0,0.24,0.31,0.01,0.11,0.67
Wild ARMs 2,Role-Playing,PS,Sony Computer Entertainment,1999.0,0.19,0.13,0.31,0.04,0.67
Castlevania: Lords of Shadow,Action,X360,Konami Digital Entertainment,2010.0,0.42,0.18,0.01,0.05,0.67
Crafting Mama,Simulation,DS,505 Games,2010.0,0.4,0.21,0.01,0.05,0.67
007: Quantum of Solace,Action,Wii,Activision,2008.0,0.3,0.29,0.01,0.07,0.67
Phoenix Wright: Ace Attorney - Trials and Tribulations,Adventure,DS,Capcom,2007.0,0.33,0.05,0.25,0.04,0.67
Borderlands: The Pre-Sequel,Shooter,PS3,Take-Two Interactive,2014.0,0.25,0.26,0.05,0.11,0.67
Shaun White Snowboarding,Sports,PS3,Ubisoft,2008.0,0.31,0.24,0.01,0.1,0.66
The LEGO Movie Videogame,Action,WiiU,Warner Bros. Interactive Entertainment,2014.0,0.35,0.23,0.03,0.06,0.66
